country_code,date,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,population
DO,2022-04-14,28,578733,0,4375,10847904
GQ,2022-04-14,0,15906,0,183,1402985
IE,2022-04-14,1788,1500576,8,6940,4904240
KP,2022-04-14,0,0,0,0,25778815
NP,2022-04-14,6,978654,0,11951,29136808
PR,2022-04-14,0,490951,0,4184,2860840
SC,2022-04-14,75,41810,0,163,98340
SM,2022-04-14,47,15972,0,114,33938
TG,2022-04-14,0,36962,0,272,8278736
ZA,2022-04-14,1846,3739192,4,100142,59308690
AU,2022-04-14,8144,273449,2,89,2656156
CH,2022-04-14,11,16303,0,96,40403
CH,2022-04-14,148,148538,0,814,343955
FR,2022-04-14,0,10129,0,44,38659
ID,2022-04-14,7,143367,1,2470,8851240
IN,2022-04-14,0,724200,0,6639,31205576
IN,2022-04-14,0,28238,0,228,274289
IN,2022-04-14,2,1041224,0,10735,72597565
JP,2022-04-14,1010,123269,0,389,3609465
JP,2022-04-14,2169,327716,4,2151,5427280
JP,2022-04-14,126,9252,0,14,549925
JP,2022-04-14,684,32626,1,121,1061032
TH,2022-04-14,110,7864,0,48,375380
US,2022-04-14,356,239130,0,2276,1328361
AU,2022-04-14,1843,115910,2,41,539590
RU,2022-04-14,88,102735,2,1398,818570
RU,2022-04-14,98,115541,2,2421,1096448
RU,2022-04-14,19,133919,2,3295,732864
RU,2022-04-14,604,1510188,14,33269,5384342
RU,2022-04-14,106,149405,4,3403,1342099
RU,2022-04-14,158,187308,6,3716,1160445
AT,2022-04-14,28,22732,1,174,52726
AT,2022-04-14,17,16152,0,63,38331
AT,2022-04-14,55,29355,0,151,
AT,2022-04-14,36,33315,0,87,64103
IL,2022-04-14,5,3447,0,1,7285
IL,2022-04-14,0,2050,0,1,4270
IL,2022-04-14,2,10272,0,18,25833
IN,2022-04-14,0,0,0,0,36842
IN,2022-04-14,0,526,0,1,92076
IN,2022-04-14,0,0,0,0,
IN,2022-04-14,0,13507,0,371,3937385
IN,2022-04-14,0,193880,0,3238,4063872
IN,2022-04-14,0,0,0,0,2543243
IN,2022-04-14,0,0,0,0,52074
IN,2022-04-14,0,0,0,0,818008
IN,2022-04-14,147,261925,0,1006,1514432
IN,2022-04-14,0,0,0,0,1065056
IN,2022-04-14,0,45448,0,364,1928812
IN,2022-04-14,2,244313,0,4945,2634200
IN,2022-04-14,0,0,0,0,1264219
IN,2022-04-14,0,0,0,0,
IN,2022-04-14,1,17229,0,392,769751
IN,2022-04-14,0,17939,0,455,684627
IN,2022-04-14,0,9715,0,55,1110906
IN,2022-04-14,0,17036,0,68,669919
IN,2022-04-14,0,0,0,0,
IN,2022-04-14,0,0,0,0,4091380
IN,2022-04-14,0,0,0,0,1998603
IN,2022-04-14,0,0,0,0,1221592
IN,2022-04-14,0,0,0,0,875958
IN,2022-04-14,0,7859,0,61,259898
IN,2022-04-14,0,62578,0,530,5913457
CA,2022-04-14,0,56311,0,525,
CA,2022-04-14,0,11592,0,91,
CA,2022-04-14,0,12783,0,61,
CA,2022-04-14,75,14875,1,207,
IL,2022-04-14,32,9761,0,5,23206
NL,2022-04-14,4,13809,0,44,31780
NL,2022-04-14,5,11998,0,35,27011
NL,2022-04-14,11,23147,0,65,47581
NL,2022-04-14,0,6340,0,15,13519
NL,2022-04-14,7,8798,0,32,17071
NL,2022-04-14,2,8614,0,29,17001
NL,2022-04-14,14,51686,0,204,101603
NL,2022-04-14,8,14481,0,46,31638
NL,2022-04-14,2,11982,0,21,26431
NL,2022-04-14,9,26030,0,45,55616
NL,2022-04-14,2,8998,0,19,21612
NL,2022-04-14,13,38046,0,183,80815
NL,2022-04-14,7,17613,0,46,39164
NL,2022-04-14,30,38959,0,108,87817
NL,2022-04-14,1,2835,0,5,5259
NL,2022-04-14,25,20277,0,55,44059
US,2022-04-14,0,10045,0,41,18090
US,2022-04-14,0,8319,0,19,32098
US,2022-04-14,0,2304,0,54,10176
US,2022-04-14,0,32361,1,623,114710
US,2022-04-14,1,13572,0,231,51853
US,2022-04-14,-1,16314,0,260,54695
US,2022-04-14,0,960,0,10,5201
US,2022-04-14,2,6809,0,85,26401
US,2022-04-14,1,5927,0,75,17103
US,2022-04-14,6,2977,0,6,14354
US,2022-04-14,92,86030,0,684,445298
US,2022-04-14,251,153729,4,1237,644478
US,2022-04-14,0,483,0,9,2311
US,2022-04-14,0,68136,0,664,266309
US,2022-04-14,0,5463,0,54,26443
US,2022-04-14,0,4093,0,72,19687
US,2022-04-14,0,3338,0,45,15213
US,2022-04-14,4,8871,0,184,43654
US,2022-04-14,2,12655,0,50,39370
US,2022-04-14,3,13831,0,129,53513
US,2022-04-14,1,11864,0,216,37726
US,2022-04-14,3,3902,0,61,13677
US,2022-04-14,24,69442,0,773,262600
US,2022-04-14,0,4379,0,52,14609
US,2022-04-14,0,6141,0,84,20129
US,2022-04-14,0,1969,0,35,8006
US,2022-04-14,0,7135,0,81,28735
US,2022-04-14,0,786,0,13,2857
US,2022-04-14,0,295,0,12,1548
US,2022-04-14,0,3320,0,43,11945
US,2022-04-14,0,1368,0,20,5055
US,2022-04-14,0,753,0,10,2843
